Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
CSS T-test,0,0,15,1.5,Negative Binomial
CSS T-test,0,0,25,1.5,Negative Binomial
CSS T-test,0.001 +/- (0.003),0,50,1.5,Negative Binomial
CSS T-test,0.008 +/- (0.009),0,100,1.5,Negative Binomial
CSS T-test,0.004 +/- (0.006),0,150,1.5,Negative Binomial
CSS T-test,0,0,5,1.5,Beta-Binomial
CSS T-test,0,0,15,1.5,Beta-Binomial
CSS T-test,0,0,25,1.5,Beta-Binomial
CSS T-test,0,0,50,1.5,Beta-Binomial
CSS T-test,0,0,100,1.5,Beta-Binomial
CSS T-test,0,0,150,1.5,Beta-Binomial
CSS Wilcox,0.222 +/- (0.039),0.005 +/- (0.025),50,3,Negative Binomial
CSS Wilcox,0.243 +/- (0.041),0.044 +/- (0.081),50,5,Negative Binomial
CSS Wilcox,0.234 +/- (0.04),0.037 +/- (0.097),100,3,Negative Binomial
CSS Wilcox,0.261 +/- (0.047),0.239 +/- (0.241),100,5,Negative Binomial
CSS Wilcox,0.241 +/- (0.029),0.046 +/- (0.098),150,3,Negative Binomial
CSS Wilcox,0.327 +/- (0.06),0.475 +/- (0.255),150,5,Negative Binomial
CSS Wilcox,0.008 +/- (0.008),0,50,3,Beta-Binomial
CSS Wilcox,0.072 +/- (0.033),0.004 +/- (0.02),50,5,Beta-Binomial
CSS Wilcox,0.05 +/- (0.023),0,100,3,Beta-Binomial
CSS Wilcox,0.265 +/- (0.055),0.024 +/- (0.042),100,5,Beta-Binomial
CSS Wilcox,0.141 +/- (0.046),0.002 +/- (0.012),150,3,Beta-Binomial
CSS Wilcox,0.471 +/- (0.054),0.061 +/- (0.05),150,5,Beta-Binomial
CSS Wilcox,0,0,5,3,Beta-Binomial
CSS Wilcox,0,0,5,5,Beta-Binomial
CSS Wilcox,0,0,15,3,Beta-Binomial
CSS Wilcox,0,0,15,5,Beta-Binomial
CSS Wilcox,0,0,25,3,Beta-Binomial
CSS Wilcox,0.009 +/- (0.014),0,25,5,Beta-Binomial
CSS Wilcox,0,0,5,3,Negative Binomial
CSS Wilcox,0,0,5,5,Negative Binomial
CSS Wilcox,0.042 +/- (0.048),0,15,3,Negative Binomial
CSS Wilcox,0.132 +/- (0.057),0,15,5,Negative Binomial
CSS Wilcox,0.108 +/- (0.06),0,25,3,Negative Binomial
CSS Wilcox,0.217 +/- (0.042),0.013 +/- (0.067),25,5,Negative Binomial
CSS Wilcox,0,0,5,1.5,Negative Binomial
